player_id,player,pos,team,adp_ppr,pts_ppr,games,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,pass_yd,pass_td,injury_status,years_exp,vorp,vorp_rank,adp_rank,value_gap
4217,George Kittle,TE,SF,90.3,169.3,18.0,62.0,713.0,6.0,,,,,,Questionable,9.0,9.5,80,89,9
11563,Bo Nix,QB,DEN,120.6,295.72,18.0,,,,76.0,330.0,4.0,3768.0,26.0,,2.0,9.04000000000002,81,114,33
11628,Marvin Harrison,WR,ARI,75.9,186.2,18.0,62.0,882.0,6.0,,,,,,,2.0,8.899999999999977,82,75,-7
6797,Justin Herbert,QB,LAC,82.3,295.48,18.0,,,,70.0,338.0,3.0,3842.0,26.0,,6.0,8.800000000000011,83,82,-1
7021,Rico Dowdle,RB,PIT,85.0,161.1,18.0,38.0,273.0,1.0,159.0,678.0,4.0,,,,6.0,7.400000000000006,84,85,1
6806,J.K. Dobbins,RB,DEN,94.9,160.2,18.0,26.0,190.0,1.0,171.0,732.0,6.0,,,,6.0,6.5,85,92,7
5967,Tony Pollard,RB,TEN,83.5,160.1,18.0,28.0,187.0,1.0,189.0,794.0,5.0,,,,7.0,6.400000000000006,86,84,-2
5846,DK Metcalf,WR,PIT,74.8,183.3,18.0,62.0,843.0,6.0,2.0,10.0,,,,Questionable,7.0,6.0,87,74,-13
10236,Dalton Kincaid,TE,BUF,89.2,163.6,18.0,66.0,736.0,4.0,,,,,,,3.0,3.799999999999983,88,88,0
5012,Mark Andrews,TE,BAL,129.2,162.5,18.0,60.0,653.0,6.0,6.0,12.0,,,,,8.0,2.6999999999999886,89,121,32
4983,DJ Moore,WR,BUF,57.2,179.0,18.0,63.0,851.0,5.0,5.0,29.0,,,,,8.0,1.6999999999999886,90,57,-33
11583,Jonathon Brooks,RB,CAR,109.3,154.9,18.0,34.0,245.0,1.0,160.0,684.0,4.0,,,,2.0,1.200000000000017,91,105,14
9480,Brenton Strange,TE,JAX,152.8,161.0,18.0,63.0,680.0,5.0,,,,,,,3.0,1.1999999999999886,92,137,45
12534,Kyle Monangai,RB,CHI,99.0,154.6,18.0,23.0,165.0,1.0,166.0,751.0,6.0,,,Questionable,1.0,0.9000000000000057,93,96,3
8142,Alec Pierce,WR,IND,101.9,177.9,18.0,54.0,872.0,6.0,1.0,7.0,,,,PUP,4.0,0.5999999999999943,94,98,4
8408,Jordan Mason,RB,MIN,117.7,153.7,18.0,20.0,140.0,1.0,190.0,797.0,6.0,,,,4.0,0.0,95,113,18
13279,Carnell Tate,WR,TEN,66.1,177.3,18.0,65.0,813.0,5.0,2.0,10.0,,,,,0.0,0.0,96,66,-30
4046,Patrick Mahomes,QB,KC,106.7,286.68,18.0,,,,47.0,202.0,1.0,3962.0,29.0,Questionable,9.0,0.0,97,102,5
8110,Jake Ferguson,TE,DAL,97.1,159.8,18.0,70.0,618.0,5.0,,,,,,,4.0,0.0,98,95,-3
7567,Kenny Gainwell,RB,TB,111.6,152.3,18.0,47.0,355.0,2.0,99.0,418.0,3.0,,,,5.0,-1.3999999999999773,99,108,9
8131,Isaiah Likely,TE,NYG,108.9,157.3,18.0,62.0,653.0,5.0,,,,,,,4.0,-2.5,100,104,4
5045,Courtland Sutton,WR,DEN,80.8,174.3,18.0,59.0,793.0,6.0,,,,,,,8.0,-3.0,101,80,-21
