player_id,player,pos,team,adp_ppr,pts_ppr,games,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,pass_yd,pass_td,injury_status,years_exp
3294,Dak Prescott,QB,DAL,81.6,303.88,18.0,,,,44.0,152.0,1.0,4292.0,31.0,,10.0
12508,Jaxson Dart,QB,NYG,82.3,296.54,18.0,,,,106.0,539.0,6.0,3366.0,22.0,,1.0
10232,Michael Wilson,WR,ARI,83.3,166.0,18.0,59.0,764.0,5.0,1.0,6.0,,,,,3.0
6797,Justin Herbert,QB,LAC,84.4,295.48,18.0,,,,70.0,338.0,3.0,3842.0,26.0,,6.0
7611,Rhamondre Stevenson,RB,NE,85.1,169.0,18.0,29.0,214.0,1.0,183.0,786.0,6.0,,,,5.0
13294,Makai Lemon,WR,PHI,86.5,168.5,18.0,60.0,775.0,5.0,2.0,10.0,,,,Questionable,0.0
5967,Tony Pollard,RB,TEN,87.3,160.1,18.0,28.0,187.0,1.0,189.0,794.0,5.0,,,Questionable,7.0
7021,Rico Dowdle,RB,PIT,87.3,161.1,18.0,38.0,273.0,1.0,159.0,678.0,4.0,,,,6.0
LAR,Los Angeles Rams,DST,LAR,89.2,106.0,1.0,,,,,,,,,,
10236,Dalton Kincaid,TE,BUF,90.0,163.6,18.0,66.0,736.0,4.0,,,,,,,3.0
4217,George Kittle,TE,SF,91.6,169.3,18.0,62.0,713.0,6.0,,,,,,PUP,9.0
6806,J.K. Dobbins,RB,DEN,92.6,160.2,18.0,26.0,190.0,1.0,171.0,732.0,6.0,,,Questionable,6.0
1466,Travis Kelce,TE,KC,93.3,171.4,18.0,70.0,714.0,5.0,,,,,,,13.0
11533,Brandon Aubrey,K,DAL,94.6,116.0,18.0,,,,,,,,,,3.0
12534,Kyle Monangai,RB,CHI,95.1,154.6,18.0,23.0,165.0,1.0,166.0,751.0,6.0,,,Questionable,1.0
4037,Chris Godwin,WR,TB,95.9,173.6,18.0,68.0,750.0,5.0,1.0,6.0,,,,,9.0
8142,Alec Pierce,WR,IND,97.8,177.9,18.0,54.0,872.0,6.0,1.0,7.0,,,,PUP,4.0
7523,Trevor Lawrence,QB,JAX,98.5,303.42,18.0,,,,79.0,339.0,5.0,3788.0,26.0,,5.0
421,Matthew Stafford,QB,LAR,99.6,280.22,18.0,,,,27.0,19.0,,4033.0,32.0,,17.0
8110,Jake Ferguson,TE,DAL,100.3,159.8,18.0,70.0,618.0,5.0,,,,,,,4.0
HOU,Houston Texans,DST,HOU,101.0,104.0,1.0,,,,,,,,,,
5947,Jakobi Meyers,WR,JAX,102.3,169.3,18.0,64.0,732.0,5.0,4.0,21.0,,,,,7.0
6819,Michael Pittman,WR,PIT,103.6,170.9,18.0,69.0,772.0,4.0,1.0,7.0,,,,Questionable,6.0
11586,Blake Corum,RB,LAR,104.0,135.3,18.0,15.0,106.0,,172.0,757.0,6.0,,,,2.0
9756,Jordan Addison,WR,MIN,105.8,171.7,18.0,60.0,795.0,5.0,4.0,22.0,,,,,3.0
4046,Patrick Mahomes,QB,KC,106.4,286.68,18.0,,,,47.0,202.0,1.0,3962.0,29.0,Questionable,9.0
9754,Quentin Johnston,WR,LAC,107.8,163.9,18.0,58.0,748.0,5.0,2.0,11.0,,,,,3.0
SEA,Seattle Seahawks,DST,SEA,108.1,103.0,1.0,,,,,,,,,,
8126,Wan'Dale Robinson,WR,TEN,109.0,170.7,18.0,71.0,741.0,4.0,3.0,16.0,,,,,4.0
9500,Josh Downs,WR,IND,110.5,172.3,18.0,70.0,770.0,4.0,2.0,13.0,,,,,3.0
12533,Jacory Croskey-Merritt,RB,WAS,111.4,127.9,18.0,19.0,135.0,1.0,141.0,614.0,5.0,,,,1.0
7567,Kenny Gainwell,RB,TB,111.8,152.3,18.0,47.0,355.0,2.0,99.0,418.0,3.0,,,,5.0
8131,Isaiah Likely,TE,NYG,113.8,157.3,18.0,62.0,653.0,5.0,,,,,,,4.0
10222,Jayden Reed,WR,GB,114.6,197.6,18.0,70.0,853.0,6.0,14.0,83.0,,,,,3.0
12493,Oronde Gadsden,TE,LAC,115.7,141.8,18.0,56.0,618.0,4.0,,,,,,,1.0
2449,Stefon Diggs,WR,WAS,116.0,157.3,18.0,64.0,687.0,4.0,1.0,6.0,,,,,11.0
8183,Brock Purdy,QB,SF,117.6,303.2,18.0,,,,64.0,242.0,3.0,3900.0,30.0,,4.0
8259,Cameron Dicker,K,LAC,118.4,106.0,18.0,,,,,,,,,,4.0
11563,Bo Nix,QB,DEN,119.5,295.72,18.0,,,,76.0,330.0,4.0,3768.0,26.0,,2.0
8408,Jordan Mason,RB,MIN,120.0,153.7,18.0,20.0,140.0,1.0,190.0,797.0,6.0,,,,4.0
